"CorporateNumber","CorporationName","CorporateStatus","FilingType","AddressLine1","AddressLine2","City","State","ZipCode","Country","FillingDate"
"P05000000010","UNIQUE XPRESSIONS, INC.                         ","A","DOMP","           P.O. BOX 8061                             ","                                          ","FT. LAURDERDALE             ","FL","33310-8061","  ","12302004"
"P05000000020","REGIER CONSULTING SERVICES, INC.                ","A","DOMP","           3901 S OCEAN DR STE 5-E                   ","                                          ","HOLLYWOOD                   ","FL","33019     ","  ","12302004"
"L05000000010","WATERCASTLE MANAGEMENT COMPANY, LLC             ","A","FLAL","           2600 ISLAND BOULEVARD STE 201             ","                                          ","AVENTURA                    ","FL","33160     ","  ","12302004"
"L05000000020","SANSCAPE LLC                                    ","A","FLAL","           635 CALHOUN AVENUE                        ","                                          ","DESTIN                      ","FL","32541     ","  ","12302004"
"P05000000030","PS GENERAL SERVICES, INC.                       ","A","DOMP","           1328 WILEY ST. #210                       ","                                          ","HOLLYWOOD                   ","FL","33019     ","  ","12302005"
"P05000000040","MORTGAGES AND INSURANCE CENTER  SERVICES INC.   ","A","DOMP","           8062 WEST SAMPLE ROAD                     ","                                          ","CORAL SPRINGS               ","FL","33065     ","  ","01012005"
"L05000000030","4016 BROADWAY, LLC                              ","A","FLAL","           450 EAST LAS OLAS BOULEVARD STE 1500      ","                                          ","FT. LAUDERDALE              ","FL","33301     ","  ","12302004"
"P05000000050","ALTERATIONS BY US, INC.                         ","A","DOMP","           1717 N. BAYSHORE DR.                      ","#2342                                     ","MIAMI                       ","FL","33132     ","US","12302004"
"P05000000060","CHRISTOPHER CORRIE, P.A.                        ","A","DOMP","           6527 NORTH CHASEWOOD DRIVE                ","                                          ","JUPITER                     ","FL","33458     ","US","12302004"
"A05000000010","BERGMANN SLG, LTD.                              ","A","DOML","P          4315 PABLO OAKS COURT, SUITE 1            ","                                          ","JACKSONVILLE                ","FL","32224     ","  ","12302004"
