"CorporateNumber","CorporationName","CorporateStatus","FilingType","AddressLine1","AddressLine2","City","State","ZipCode","Country","FillingDate"
"P05000006180","OIVEIRA'S CLEANING SERVICES CORPORATION         ","A","DOMP","           2116 EARL RD                              ","                                          ","FORT MYERS                  ","FL","33901     ","  ","01122005"
"P05000006190","ALL LEATHER CARE, INC.                          ","A","DOMP","           1949 NE 148TH ST                          ","                                          ","N MIAMI                     ","FL","33181     ","  ","01152005"
"P05000006200","PIZZE RUSTICA INC.                              ","A","DOMP","           P.O. BOX 993                              ","                                          ","CRYSTAL BEACH               ","FL","34681     ","  ","01132005"
"P05000006210","BETTER VAN LINES, INC.                          ","A","DOMP","           PO BOX 22602                              ","                                          ","HIALEAH                     ","FL","33002     ","  ","01122005"
"P05000006220","PHILIP HEITNER, PA                              ","A","DOMP","           1103 SW MEADOW CT                         ","                                          ","PALM CITY                   ","FL","34990     ","  ","01122005"
"P05000006230","THE IVY 2403 - 1004 CORP.                       ","A","DOMP","           2100 PONCE DE LEON BLVD STE 600           ","                                          ","CORAL GABLES                ","FL","33134     ","  ","01122005"
"P05000006240","OLIVER ROOFING SERVICE, CORP.                   ","A","DOMP","           4411 N FEDERAL HWY. #3                    ","                                          ","POMPANO BEACH               ","FL","33064     ","  ","01122005"
"P05000006250","LEARNING YEARS, INC.                            ","A","DOMP","           20 SW 48TH AVENUE                         ","                                          ","MIAMI                       ","FL","33134-1436","  ","01232005"
"L05000003650","GEORGE MARKET PLACE LLC                         ","A","FLAL","           13808 FAIRLANE COURT                      ","                                          ","WEST PALM BEACH             ","FL","33414     ","  ","01122005"
"P05000006260","EASY WALKER DISTRIBUTION SERVICES, INC.         ","A","DOMP","           C/O GISELLA LEVI CAROTI, ESQ.             ","40 WALL STREET                            ","NEW YORK                    ","NY","10005     ","  ","01122005"
"N05000000390","ARDENNE ALUMNI ORGANIZATION OF FLORIDA, INC.    ","A","DOMN","P          700 N 66TH TERRACE                        ","                                          ","HOLLYWOOD                   ","FL","33024     ","  ","01122005"
"L05000003660","JB INTERNATIONAL LLC                            ","A","FLAL","           5305 TAPSCOTT AVENUE                      ","                                          ","COCOA                       ","FL","32926     ","US","01102005"
"L05000003670","CP CAPITAL INVESTORS III, LLC                   ","A","FLAL","           999 BRICKELL AVENUE                       ","SUITE 600                                 ","MIAMI                       ","FL","33131     ","US","01122005"
"P05000006270","NORTH LION BUSINESS CORP                        ","A","DOMP","           1880 WOODLAND CIR #306                    ","                                          ","VERO BCH                    ","FL","33967     ","  ","01122005"
"L05000003680","HI FITNESS, L.L.C.                              ","A","FLAL","           9449 BOCA COVE CIRCLE #906                ","                                          ","BOCA RATON                  ","FL","33428     ","  ","01122005"
"L05000003690","BASS LAKE INVESTMENTS, LLC                      ","A","FLAL","           178 LAKE POINT DRIVE                      ","                                          ","SEAGROVE BEACH              ","FL","32459     ","  ","01112005"
"P05000006280","THE RESIDENCES 105-9 / 106-9 - 0704 CORP.       ","A","DOMP","           2100 PONCE DE LEON BLVD STE 600           ","                                          ","CORAL GABLES                ","FL","33134     ","  ","01122005"
"L05000003700","JEFFREY A. WECHTER, LLC                         ","A","FLAL","           12200 LAND STREET                         ","                                          ","LARGO                       ","FL","33773     ","US","01122005"
"L05000003710","MOUNTAIN GLEN L.L.C.                            ","A","FLAL","           307 SOUTH 21ST AVENUE                     ","                                          ","HOLLYWOOD                   ","FL","33020     ","US","01122005"
"L05000003720","BARRY SENIOR PAINTING AND DRYWALL, LLC.         ","A","FLAL","           1250 BARMEL STREET                        ","                                          ","PENSACOLA                   ","FL","32561     ","  ","01122005"
"P05000006290","COVENANT LAND INVESTMENTS INC.                  ","A","DOMP","           2109 WEST HIGHWAY 90                      ","SUITE 170-167                             ","LAKE CITY                   ","FL","32055     ","  ","01122005"
"L05000003730","ADVANCED CONCRETE PUMPING, LLC                  ","A","FLAL","           1515B REID STREET                         ","                                          ","COCOA                       ","FL","32966     ","  ","01122005"
"L05000003740","VECK MAIDEN VOYAGE, LLC                         ","A","FLAL","           7637 NW 25TH STREET                       ","                                          ","MARGATE                     ","FL","33063     ","  ","01122005"
"L05000003750","TERRY MORRIS, LLC                               ","A","FLAL","           740 PETES LANE                            ","                                          ","DAVENPORT                   ","FL","33837     ","US","01122005"
"L05000003760","HEAVEN SCENT CLEANING SERVICE LLC               ","A","FLAL","           1511 NE 16TH AVE. #C                      ","#C                                        ","GAINESVILLE                 ","FL","32601     ","  ","01122005"
"L05000003770","CARLYLE BEACH LLC                               ","A","FLAL","           1360 71ST STREET                          ","                                          ","MIAMI BEACH                 ","FL","33141     ","US","01122005"
"P05000006300","SABAL PALM ROAD INVESTMENTS, INC.               ","A","DOMP","           1401 BRICKELL AVE - STE 500               ","                                          ","MIAMI                       ","FL","33131     ","  ","01122005"
"L05000003780","L & D FLORIDA DEVELOPMENT II, LLC               ","A","FLAL","           3535 BROKENWOOD DRIVE                     ","                                          ","CORAL SPRINGS               ","FL","33065     ","  ","01122005"
"L05000003790","TREAS CONSTRUCTION, LLC                         ","A","FLAL","           P.O. BOX 322                              ","                                          ","BENTON                      ","KY","42025     ","  ","01112005"
"L05000003810","DRAGON BICYCLE COMPANY LLC                      ","A","FLAL","           709 ELEANORE AVE.                         ","                                          ","NEW SMYRNA BEACH            ","FL","32168     ","  ","01122005"
"L05000003820","DEG COLONY PARK, LLC                            ","A","FLAL","           1153 TOWN CENTER DRIVE                    ","SUITE 202                                 ","JUPITER                     ","FL","33458     ","  ","01132005"
"L05000003830","CGS GROUP, LLC                                  ","A","FLAL","           12370 SW 193 ST                           ","                                          ","MIAMI                       ","FL","33177     ","US","01122005"
"L05000003800","PALM DENTISTRY, PLLC                            ","A","FLAL","           4131 VENETIA WAY                          ","                                          ","PALM BEACH GARDENS          ","FL","33418     ","US","01122005"
"L05000003840","BEST CARE HOME SERVICES LLC                     ","A","FLAL","           P.O. BOX 8483                             ","                                          ","NAPLES                      ","FL","34101     ","US","02012005"
"P05000006740","TZ VENTURES, INC.                               ","A","DOMP","           5309 NW LAMOORE LN.                       ","                                          ","PT. ST. LUCIE               ","FL","34983     ","  ","01122005"
"P05000006310","RAS CONSULTING GROUP, INC.                      ","A","DOMP","           1673 MAIN STREET                          ","                                          ","DUNEDIN                     ","FL","34698     ","  ","01122005"
"L05000003860","OLD WORLD STONE CREATIONS L.L.C.                ","A","FLAL","           623 WIRGINIA OAK CT.                      ","                                          ","FORT WALTON BEACH           ","FL","32548     ","US","01132005"
"L05000003870","D.E.C.K., LLC                                   ","A","FLAL","           1029 BARNWELL ROAD                        ","                                          ","FERNANDINA BEACH            ","FL","32034     ","US","01132005"
"L05000003880","PC BALTO SAG, LLC                               ","A","FLAL","           1777 REISTERSTOWN ROAD                    ","SUITE 135 EAST                            ","BALTIMORE                   ","MD","21208-1318","US","01132005"
"P05000006320","OVER THE ROAD, INC.                             ","A","DOMP","           471 SEMINOLE DR                           ","                                          ","LANTANA                     ","FL","33462     ","  ","01122005"
"P05000006330","MAURBILL, INC.                                  ","A","DOMP","           200 INTRACOASTAL PL #101                  ","                                          ","TEQUESTA                    ","FL","33469     ","  ","01122005"
"L05000003890","OUT AND ABOUT TRAVEL LLC                        ","A","FLAL","           122 ROOSEVELT ST.                         ","                                          ","TITUSVILLE                  ","FL","32780     ","  ","01122005"
"L05000003900","ONE WORLD TELECOM, LLC                          ","A","FLAL","           444 BRICKELL AVENUE, SUITE 230            ","                                          ","MIAMI                       ","FL","33131     ","  ","01122005"
"P05000006340","GRANDE TERRACE, INC.                            ","A","DOMP","           7897 NW HWY 225                           ","                                          ","OCALA                       ","FL","34482     ","US","01122005"
"N05000000400","MARINE CORPS LEAGUE SEPTEMBER 11TH DETACHMENT  #","A","DOMN","P          P. O. BOX 450403                          ","                                          ","KISSIMMEE                   ","FL","34745     ","US","01122005"
"L05000003910","KEENAN COMPANY, LLC                             ","A","FLAL","           150 N.E. 7TH STREET, NO. 1                ","                                          ","FORT LAUDERDALE             ","FL","33304     ","  ","01122005"
"F05000000210","SARGENT AVBORNE, INC.                           ","A","FORP","           7500 NW 26TH STREET                       ","                                          ","MIAMI                       ","FL","33122     ","  ","01122005"
"P05000006360","VETERAN REAL ESTATE OF SOUTH FLORIDA, INC.      ","A","DOMP","           2989 WEST COMMERCIAL BLVD.                ","                                          ","FORT LAUDERDALE             ","FL","33309     ","  ","01122005"
"L05000003930","OLD DIXIE 4086, LLC                             ","A","FLAL","           #922 NINTH WAY                            ","                                          ","VERO BEACH                  ","FL","32960     ","  ","01122005"
"L05000003920","RELAX, SIP & ENJOY LLC                          ","A","FLAL","           8374 MARKET STREET #436                   ","                                          ","BRADENTON                   ","FL","34202     ","  ","01122005"
"P05000006380","K.A.N.I. 4U INC.                                ","A","DOMP","           773 DROMEDARY DRIVE                       ","                                          ","KISSIMMEE                   ","FL","34759     ","US","01122005"
"P05000006390","ATLANTIC POOL & PRESSURE WASHING, INC.          ","A","DOMP","           13230 ARBOR VITAE DRIVE                   ","                                          ","JACKSONVILLE                ","FL","32225     ","  ","01052005"
"P05000006350","CLASSIC POOL & SPA SERVICES, CORP.              ","A","DOMP","           840 NW 45TH STREET                        ","                                          ","POMPANO BEACH               ","FL","33064     ","US","01122005"
"P05000006410","DEHEART & ASSOCIATES, INC.                      ","A","DOMP","           1720 W. HILLS AVENUE                      ","APT. #3                                   ","TAMPA                       ","FL","33606     ","US","01122005"
"M05000000190","JIN ZHI STAR LT, LLC                            ","A","FORL","           321 N. UNIVERSITY DRIVE                   ","MALL MANAGEMENT OFFICE                    ","PLANTATION                  ","FL","33324     ","  ","01122005"
"N05000000410","KIWANIS OF MIAMI-LATIN, INC.                    ","A","DOMN","P          P.O. BOX 141802                           ","                                          ","MIAMI                       ","FL","33114     ","  ","01132005"
"L05000003940","8 STREET HOLDINGS, LLC                          ","A","FLAL","           12951 SW 124 STREET, #2TB                 ","                                          ","MIAMI                       ","FL","33186     ","  ","01122005"
"P05000006420","LUIS & ROSAURA MORA, P.A.                       ","A","DOMP","           1530 BAYTHORN DRIVE                       ","                                          ","WESLEY CHAPEL               ","FL","33543     ","US","01062005"
"P05000006440","MER & ML ENTERPRISES, INC.                      ","A","DOMP","           1861 LYONS ROAD                           ","#206                                      ","COCONUT CREEK               ","FL","33063     ","  ","01122005"
"L05000003950","GRAFFAM MEDIA, LLC                              ","A","FLAL","           1234 TRACY DRIVE                          ","                                          ","PORT ORANGE                 ","FL","32129     ","  ","01122005"
"P05000006450","REALWORK ENTERPRISES, INC.                      ","A","DOMP","           6096 ROJO RD.                             ","                                          ","ST. AUGUSTINE               ","FL","32080     ","  ","01122005"
"P05000006460","DEPT. OF X-RAY AND ULTRASOUND INC.              ","A","DOMP","           711 NW 23 AVENUE                          ","SUITE 204                                 ","MIAMI                       ","FL","33125     ","  ","01112005"
"P05000006400","BEST PROFESSIONAL REHABILITATION CORP.          ","A","DOMP","           5585 SW 8 ST                              ","                                          ","MIAMI                       ","FL","33144     ","  ","01122005"
"P05000006430","LUIS ALBERTO TEJERA INC.                        ","A","DOMP","           13240 SW 57 TERR                          ","2                                         ","MIAMI                       ","FL","33183     ","  ","01122005"
"P05000006490","A&B STAR FLORIDA INC.                           ","A","DOMP","           351 S. CYPRESS RD                         ","SUITE # 307                               ","POMPANO BEACH               ","FL","33060     ","  ","01122005"
"P05000006500","MARTIN ASSOCIATES OF PINELLAS COUNTY, INC.      ","A","DOMP","           6633 27TH WAY NORTH                       ","                                          ","ST. PETERSBURG              ","FL","33702     ","  ","01102005"
"P05000006510","KEVIN FELDMAN, CORP                             ","A","DOMP","           1010 S. OCEAN BLVD                        ","#409                                      ","POMPANO BEACH               ","FL","33062     ","US","01122005"
"P05000006520","FERID TILE & MARBLE INC                         ","A","DOMP","           PO BOX 16952                              ","                                          ","JACKSONVILLE                ","FL","32245     ","  ","01122005"
"L05000003980","MCQUEEN DESIGNS, LLC                            ","A","FLAL","           229 HEMLEY LOOP                           ","                                          ","TALLAHASSEE                 ","FL","32312     ","  ","01132005"
"P05000006530","GREG PENTON INC.                                ","A","DOMP","           8859 HWY. 89                              ","                                          ","MILTON                      ","FL","32570     ","  ","01122005"
"P05000006540","RENE VELAZQUEZ, CPA, PA                         ","A","DOMP","           7892 SW 101 TERR                          ","                                          ","MIAMI                       ","FL","33156     ","  ","01132005"
"P05000006550","MAXIM MEDIA INTERNATIONAL INC                   ","A","DOMP","           6534 MEMPHIS AV                           ","                                          ","PENSACOLA                   ","FL","32526     ","  ","01132005"
"L05000003960","THE ASKY HOLDINGS, LLC                          ","A","FLAL","           19930 NW 3 CT                             ","                                          ","MIAMI                       ","FL","33169     ","  ","01122005"
"L05000003970","INTEGRITY FIXED INCOME MANAGEMENT LLC           ","A","FLAL","           651 BRYN MAWR STREET                      ","                                          ","ORLANDO                     ","FL","32804-4427","  ","01062005"
"L05000003990","405 MARINA POINT DRIVE LLC                      ","A","FLAL","           20 HOLMES BLVD NW                         ","                                          ","FORT WALTON BEACH           ","FL","32548     ","  ","01012005"
"P05000006570","BATTERY POWER SOLUTIONS INCORPORATED            ","A","DOMP","           805 PARK STREET                           ","                                          ","CLEARWATER                  ","FL","33756     ","US","01132005"
